title,author,occurrenceCount,statesCount,districtsCount,topBanStatus,matchedSlug,matchType,status,existingCompleteness,notes
Flamer,"Curato, Mike",15,8,15,Banned in Libraries,,missing,missing,,
Gender Queer: A Memoir,"Kobabe, Maia",15,10,15,Banned Pending Investigation,,missing,missing,,
Tricks,"Hopkins, Ellen",13,7,13,Banned Pending Investigation,,missing,missing,,
Crank,"Hopkins, Ellen",12,5,12,Banned in Libraries and Classrooms,,missing,missing,,
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",12,4,12,Banned in Libraries and Classrooms,,missing,missing,,
A Court of Mist and Fury,"Maas, Sarah J.",11,5,11,Banned in Libraries and Classrooms,,missing,missing,,
Push,Sapphire,11,4,11,Banned in Libraries and Classrooms,push,title_author,exists_incomplete,incomplete_affiliate,Matched by normalized title/author to push
Sold,"McCormick, Patricia",11,6,11,Banned Pending Investigation,,missing,missing,,
Milk and Honey,"Kaur, Rupi",10,5,10,Banned Pending Investigation,,missing,missing,,
The Bluest Eye,"Morrison, Toni",10,6,10,Banned Pending Investigation,,missing,missing,,
This Book Is Gay,"Dawson, Juno",10,7,10,Banned in Libraries and Classrooms,,missing,missing,,
A Court of Frost and Starlight,"Maas, Sarah J.",9,5,9,Banned in Libraries and Classrooms,,missing,missing,,
A Court of Thorns and Roses,"Maas, Sarah J.",9,5,9,Banned in Libraries and Classrooms,,missing,missing,,
A Court of Wings and Ruin,"Maas, Sarah J.",9,5,9,Banned in Libraries and Classrooms,,missing,missing,,
All Boys Aren't Blue,"Johnson, George M.",9,5,9,Banned Pending Investigation,,missing,missing,,
The Perks of Being a Wallflower,"Chbosky, Stephen",9,7,9,Banned in Libraries and Classrooms,,missing,missing,,
What Girls Are Made Of,"Arnold, Elana K.",9,4,9,Banned Pending Investigation,,missing,missing,,
Red Hood,"Arnold, Elana K.",8,5,8,Banned in Libraries and Classrooms,,missing,missing,,
The Haters,"Andrews, Jesse",8,4,8,Banned Pending Investigation,,missing,missing,,
The Sun and Her Flowers,"Kaur, Rupi",8,2,8,Banned in Libraries,,missing,missing,,
Thirteen Reasons Why,"Asher, Jay",8,5,8,Banned Pending Investigation,,missing,missing,,
Breathless,"Niven, Jennifer",7,3,7,Banned in Libraries and Classrooms,,missing,missing,,
Damsel,"Arnold, Elana K.",7,5,7,Banned Pending Investigation,,missing,missing,,
Eleanor & Park,"Rowell, Rainbow",7,6,7,Banned Pending Investigation,,missing,missing,,
Empire of Storms,"Maas, Sarah J.",7,5,7,Banned Pending Investigation,,missing,missing,,
Fallout,"Hopkins, Ellen",7,5,7,Banned in Libraries and Classrooms,,missing,missing,,
Identical,"Hopkins, Ellen",7,5,7,Banned Pending Investigation,,missing,missing,,
Impulse,"Hopkins, Ellen",7,5,7,Banned Pending Investigation,,missing,missing,,
Looking for Alaska,"Green, John",7,5,7,Banned in Libraries and Classrooms,,missing,missing,,
Melissa (George),"Gino, Alex",7,4,7,Banned Pending Investigation,,missing,missing,,
Nineteen Minutes,"Picoult, Jodi",7,5,7,Banned Pending Investigation,,missing,missing,,
Out of Darkness,"Pérez, Ashley Hope",7,4,7,Banned in Libraries and Classrooms,,missing,missing,,
The Carnival at Bray,"Foley, Jessie Ann",7,4,7,Banned in Libraries and Classrooms,,missing,missing,,
The Hate U Give,"Thomas, Angie",7,4,7,Banned Pending Investigation,,missing,missing,,
Tilt,"Hopkins, Ellen",7,4,7,Banned in Libraries and Classrooms,,missing,missing,,
Forever...,"Blume, Judy",6,4,6,Banned Pending Investigation,,missing,missing,,
Lawn Boy,"Evison, Jonathan",6,4,6,Banned Pending Investigation,,missing,missing,,
Lucky,"Sebold, Alice",6,3,6,Banned Pending Investigation,,missing,missing,,
Me and Earl and the Dying Girl,"Andrews, Jesse",6,3,6,Banned Pending Investigation,,missing,missing,,
Monday's Not Coming,"Jackson, Tiffany D.",6,3,6,Banned Pending Investigation,,missing,missing,,
Oryx and Crake,"Atwood, Margaret",6,5,6,Banned in Libraries and Classrooms,,missing,missing,,
Scars,"Rainfield, Cheryl",6,4,6,Banned Pending Investigation,,missing,missing,,
Shine,"Myracle, Lauren",6,4,6,Banned in Libraries and Classrooms,,missing,missing,,
The Handmaid's Tale,"Atwood, Margaret",6,4,6,Banned in Libraries and Classrooms,,missing,missing,,
The Nowhere Girls,"Reed, Amy",6,3,6,Banned Pending Investigation,,missing,missing,,
The Upside of Unrequited,"Albertalli, Becky",6,4,6,Banned Pending Investigation,,missing,missing,,
This One Summer,"Tamaki, Mariko",6,5,6,Banned Pending Investigation,,missing,missing,,
Watchmen,"Moore, Alan",6,1,6,Banned in Libraries,,missing,missing,,
A ​Court of Silver Flames,"Maas, Sarah J.",5,3,5,Banned in Libraries and Classrooms,,missing,missing,,
Home After Dark,"Small, David",5,1,5,Banned in Libraries,,missing,missing,,
Last Night at the Telegraph Club,"Lo, Malinda",5,3,5,Banned in Libraries and Classrooms,,missing,missing,,
Neanderthal Opens the Door to the Universe,"Norton, Preston",5,3,5,Banned Pending Investigation,,missing,missing,,
People Kill People,"Hopkins, Ellen",5,3,5,Banned in Libraries and Classrooms,,missing,missing,,
"Red, White, and Royal Blue","McQuiston, Casey",5,5,5,Banned in Libraries and Classrooms,,missing,missing,,
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",5,3,5,Banned Pending Investigation,,missing,missing,,
The Kite Runner,"Hosseini, Khaled",5,3,5,Banned Pending Investigation,,missing,missing,,
The Truth About Alice: A Novel,"Mathieu, Jennifer",5,4,5,Banned Pending Investigation,,missing,missing,,
Allegedly,"Jackson, Tiffany D.",4,3,4,Banned Pending Investigation,,missing,missing,,
Almost Perfect,"Katcher, Brian",4,4,4,Banned Pending Investigation,,missing,missing,,
And Tango Makes Three,"Richardson, Justin",4,2,4,Banned Pending Investigation,,missing,missing,,
"Be Gay, Do Comics: Queer History, Memoir, and Satire",The Nib,4,1,4,Banned in Libraries,be-gay-do-comics-queer-history-memoir-and-satire,title_author,exists_incomplete,incomplete_content,Matched by normalized title/author to be-gay-do-comics-queer-history-memoir-and-satire
Boy Toy,"Lyga, Barry",4,3,4,Banned Pending Investigation,,missing,missing,,
Burned (EH),"Hopkins, Ellen",4,3,4,Banned Pending Investigation,,missing,missing,,
Clockwork Princess,"Clare, Cassandra",4,3,4,Banned in Libraries,,missing,missing,,
Drama: A Graphic Novel,"Telgemeier, Raina",4,3,4,Banned Pending Investigation,,missing,missing,,
Extremely Loud & Incredibly Close,"Foer, Jonathan Safran",4,3,4,Banned Pending Investigation,,missing,missing,,
Fade,"McMann, Lisa",4,3,4,Banned Pending Investigation,,missing,missing,,
Grown,"Jackson, Tiffany D.",4,3,4,Banned Pending Investigation,,missing,missing,,
I am Jazz,"Jennings, Jazz",4,2,4,Banned in Libraries,,missing,missing,,
I Am Not Your Perfect Mexican Daughter,"Sánchez, Erika L.",4,4,4,Banned Pending Investigation,,missing,missing,,
I Never,"Hopper, Laura",4,3,4,Banned Pending Investigation,,missing,missing,,
I'll Give You the Sun,"Nelson, Jandy",4,3,4,Banned Pending Investigation,,missing,missing,,
Killing Mr. Griffin,"Duncan, Lois",4,2,4,Banned Pending Investigation,,missing,missing,,
Kingdom of Ash,"Maas, Sarah J.",4,4,4,Banned Pending Investigation,,missing,missing,,
Laura Dean Keeps Breaking Up with Me,"Tamaki, Mariko",4,3,4,Banned Pending Investigation,,missing,missing,,
"Let's Talk About It: The Teen's Guide to Sex, Relationships, and Being a Human (A Graphic Novel)","Moen, Erika",4,3,4,Banned in Libraries and Classrooms,,missing,missing,,
Living Dead Girl,"Scott, Elizabeth",4,4,4,Banned Pending Investigation,,missing,missing,,
More Happy Than Not,"Silvera, Adam",4,4,4,Banned Pending Investigation,,missing,missing,,
Perfect,"Hopkins, Ellen",4,4,4,Banned in Libraries and Classrooms,,missing,missing,,
Ramona Blue,"Murphy, Julie",4,3,4,Banned Pending Investigation,,missing,missing,,
Slaughterhouse-Five,"Vonnegut Jr., Kurt",4,4,4,Banned Pending Investigation,,missing,missing,,
Smoke,"Hopkins, Ellen",4,3,4,Banned Pending Investigation,,missing,missing,,
The Art of Racing in the Rain,"Stein, Garth",4,3,4,Banned in Libraries and Classrooms,,missing,missing,,
The Black Flamingo,"Atta, Dean",4,3,4,Banned Pending Investigation,,missing,missing,,
The Infinite Moment of Us,"Myracle, Lauren",4,4,4,Banned Pending Investigation,,missing,missing,,
The Lovely Bones,"Sebold, Alice",4,4,4,Banned Pending Investigation,,missing,missing,,
The You I've Never Known,"Hopkins, Ellen",4,3,4,Banned in Libraries and Classrooms,,missing,missing,,
Triangles,"Hopkins, Ellen",4,2,4,Banned in Libraries and Classrooms,,missing,missing,,
Water for Elephants,"Gruen, Sara",4,3,4,Banned Pending Investigation,,missing,missing,,
We Are the Ants,"Hutchinson, Shaun David",4,3,4,Banned Pending Investigation,,missing,missing,,
When Aidan Became a Brother,"Lukoff, Kyle",4,2,4,Banned in Libraries,,missing,missing,,
Yolk,"Choi, Mary H.K.",4,3,4,Banned in Libraries and Classrooms,,missing,missing,,
All the Things We Do in the Dark,"Mitchell, Saundra",3,3,3,Banned Pending Investigation,,missing,missing,,
"Angus, Thongs and Full-Frontal Snogging","Rennison, Louise",3,2,3,Banned Pending Investigation,,missing,missing,,
Beautiful,"Reed, Amy",3,3,3,Banned Pending Investigation,,missing,missing,,
Beloved,"Morrison, Toni",3,2,3,Banned Pending Investigation,,missing,missing,,
Beyond Magenta: Transgender Teens Speak Out,"Kuklin, Susan",3,3,3,Banned Pending Investigation,,missing,missing,,
Dear Martin,"Stone, Nic",3,3,3,Banned in Libraries,,missing,missing,,
Deogratias: A Tale of Rwanda,"Stassen, Jean-Philippe",3,2,3,Banned Pending Investigation,,missing,missing,,
Dreaming in Cuban,"García, Cristina",3,2,3,Banned Pending Investigation,,missing,missing,,
Foul is Fair,"Capin, Hannah",3,2,3,Banned Pending Investigation,,missing,missing,,
"Gabi, a Girl in Pieces","Quintero, Isabel",3,3,3,Banned Pending Investigation,,missing,missing,,
Glass,"Hopkins, Ellen",3,3,3,Banned in Libraries and Classrooms,,missing,missing,,
Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",3,3,3,Banned in Libraries and Classrooms,,missing,missing,,
"It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health","Harris, Robie H.",3,3,3,Banned Pending Investigation,,missing,missing,,
Kiss Number 8,"Venable, Colleen A. F.",3,2,3,Banned Pending Investigation,,missing,missing,,
"l8r, g8r","Myracle, Lauren",3,1,3,Banned Pending Investigation,,missing,missing,,
Lighter Than My Shadow,"Green, Katie",3,1,3,Banned in Libraries,,missing,missing,,
Lily and Dunkin,"Gephart, Donna",3,2,3,Banned in Libraries,,missing,missing,,
Ready or Not,"Cabot, Meg",3,1,3,Banned in Libraries and Classrooms,,missing,missing,,
Rumble,"Hopkins, Ellen",3,2,3,Banned Pending Investigation,,missing,missing,,
Simon vs. the Homo Sapiens Agenda,"Albertalli, Becky",3,3,3,Banned Pending Investigation,,missing,missing,,
"Stamped: Racism, Antiracism, and You","Reynolds, Jason",3,1,3,Banned in Libraries and Classrooms,,missing,missing,,
The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,"Slater, Dashka",3,2,3,Banned Pending Investigation,,missing,missing,,
The Breakaways,"Johnson, Cathy G.",3,2,3,Banned Pending Investigation,,missing,missing,,
The Freedom Writers Diary,"Gruwell, Erin",3,3,3,Banned Pending Investigation,,missing,missing,,
The Poet X,"Acevedo, Elizabeth",3,3,3,Banned Pending Investigation,,missing,missing,,
The Prince and the Dressmaker,"Wang, Jen",3,1,3,Banned Pending Investigation,,missing,missing,,
ttyl,"Myracle, Lauren",3,2,3,Banned Pending Investigation,,missing,missing,,
Twisted,"Anderson, Laurie Halse",3,3,3,Banned Pending Investigation,,missing,missing,,
Two Boys Kissing,"Levithan, David",3,3,3,Banned Pending Investigation,,missing,missing,,
Unravel Me,"Mafi, Tahereh",3,2,3,Banned Pending Investigation,,missing,missing,,
Zahra's Paradise,Amir,3,1,3,Banned in Libraries,zahras-paradise,title_author,exists_incomplete,incomplete_content,Matched by normalized title/author to zahras-paradise
A Day in the Life of Marlon Bundo,"Twiss, Jill",2,1,2,Banned in Libraries and Classrooms,,missing,missing,,
Acceptance,"VanderMeer, Jeff",2,2,2,Banned Pending Investigation,,missing,missing,,
All the Bright Places,"Niven, Jennifer",2,2,2,Banned Pending Investigation,,missing,missing,,
Anne Frank's Diary: The Graphic Adaptation,"Folman, Ari",2,2,2,Banned Pending Investigation,,missing,missing,,
Aristotle and Dante Discover the Secrets of the Universe,"Sáenz, Benjamin Alire",2,2,2,Banned in Libraries and Classrooms,,missing,missing,,
Ask the Passengers,"King, A. S.",2,2,2,Banned Pending Investigation,,missing,missing,,
Assassination Classroom,"Matsui, Yūsei",2,2,2,Banned Pending Investigation,,missing,missing,,
Being Jazz: My Life as a (Transgender) Teen,"Jennings, Jazz",2,2,2,Banned Pending Investigation,,missing,missing,,
Boy Girl Boy,"Koertge, Ron",2,2,2,Banned Pending Investigation,,missing,missing,,
City of Heavenly Fire,"Clare, Cassandra",2,2,2,Banned Pending Investigation,,missing,missing,,
Collateral,"Hopkins, Ellen",2,2,2,Banned in Libraries and Classrooms,,missing,missing,,
Dead Until Dark,"Harris, Charlaine",2,1,2,Banned Pending Investigation,,missing,missing,,
Dime,"Frank, E. R.",2,2,2,Banned Pending Investigation,,missing,missing,,
Doing It!: Let's Talk About Sex,"Witton, Hannah",2,2,2,Banned Pending Investigation,,missing,missing,,
Felix Ever After,"Callender, Kacen",2,2,2,Banned in Libraries and Classrooms,,missing,missing,,
Fly on the Wall: How One Girl Saw Everything,"Lockhart, E.",2,2,2,Banned Pending Investigation,,missing,missing,,
Forever for a Year,"Gottfred, B. T.",2,2,2,Banned Pending Investigation,,missing,missing,,
Fun Home: A Family Tragicomic,"Bechdel, Alison",2,2,2,Banned in Libraries and Classrooms,,missing,missing,,
Go Ask Alice,"Sparks, Beatrice",2,2,2,Banned Pending Investigation,,missing,missing,,
Grit,"French, Gillian",2,2,2,Banned Pending Investigation,,missing,missing,,
grl2grl,"Peters, Julie Anne",2,2,2,Banned Pending Investigation,,missing,missing,,
Heroine,"McGinnis, Mindy",2,2,2,Banned Pending Investigation,,missing,missing,,
Himawari House,"Becker, Harmony",2,1,2,Banned in Libraries and Classrooms,,missing,missing,,
House of Earth and Blood,"Maas, Sarah J.",2,1,2,Banned Pending Investigation,,missing,missing,,
It Ends With Us,"Hoover, Colleen",2,2,2,Banned Pending Investigation,,missing,missing,,
It Feels Good To Be Yourself: A Book About Gender Identity,"Thorn, Theresa",2,1,2,Banned in Libraries,,missing,missing,,
Jesus Land: A Memoir,"Scheeres, Julia",2,2,2,Banned Pending Investigation,,missing,missing,,
Juliet Takes a Breath,"Rivera, Gabby",2,2,2,Banned in Libraries and Classrooms,,missing,missing,,
Julián Is a Mermaid,"Love, Jessica",2,2,2,Banned in Libraries and Classrooms,,missing,missing,,
Last Man: The Royal Cup,"Vivès, Bastien",2,1,2,Banned in Libraries,,missing,missing,,
Leah on the Offbeat,"Albertalli, Becky",2,2,2,Banned Pending Investigation,,missing,missing,,
Light It Up,"Magoon, Kekla",2,1,2,Banned Pending Investigation,,missing,missing,,
My Friend Dahmer,"Backderf, Derf",2,2,2,Banned Pending Investigation,,missing,missing,,
Not That Bad: Dispatches from Rape Culture,"Gay, Roxane",2,2,2,Banned in Libraries and Classrooms,,missing,missing,,
"Queer, There and Everywhere: 23 People Who Changed the World","Prager, Sarah",2,2,2,Banned Pending Investigation,,missing,missing,,
Queer: The Ultimate LGBTQ Guide for Teens,"Belge, Kathy",2,2,2,Banned in Libraries and Classrooms,,missing,missing,,
Race and Policing in Modern America,"Harris, Duchess",2,1,2,Banned Pending Investigation,,missing,missing,,
"Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver","Lockhart, E.",2,2,2,Banned Pending Investigation,,missing,missing,,
"Shirley Jackson's ""The Lottery"": The Authorized Graphic Adaptation","Hyman, Miles",2,2,2,Banned Pending Investigation,,missing,missing,,
Skin,"Vrettos, Adrienne Maria",2,2,2,Banned Pending Investigation,,missing,missing,,
Sloppy Firsts,"McCafferty, Megan",2,2,2,Banned Pending Investigation,,missing,missing,,
Speak,"Anderson, Laurie Halse",2,2,2,Banned Pending Investigation,,missing,missing,,
Stamped from the Beginning: The Definitive History of Racist Ideas in America,"Kendi, Ibram X.",2,2,2,Banned Pending Investigation,,missing,missing,,
The Complete Maus: A Survivor's Tale,"Spiegelman, Art",2,1,2,Banned in Libraries and Classrooms,,missing,missing,,
The Daughters of Ys,"Anderson, M.T.",2,1,2,Banned in Libraries and Classrooms,,missing,missing,,
The DUFF: Designated Ugly Fat Friend,"Keplinger, Kody",2,2,2,Banned Pending Investigation,,missing,missing,,
The Female of the Species,"McGinnis, Mindy",2,2,2,Banned Pending Investigation,,missing,missing,,
The House on Mango Street,"Cisneros, Sandra",2,2,2,Banned in Libraries,,missing,missing,,
The Sacrifice of Darkness,"Gay, Roxane",2,1,2,Banned in Libraries and Classrooms,,missing,missing,,
They Both Die at the End,"Silvera, Adam",2,1,2,Banned in Libraries,,missing,missing,,
Tower of Dawn,"Maas, Sarah J.",2,2,2,Banned Pending Investigation,,missing,missing,,
Traffick,"Hopkins, Ellen",2,2,2,Banned in Libraries and Classrooms,,missing,missing,,
Uncomfortable Conversations with a Black Boy,"Acho, Emmanuel",2,1,2,Banned in Libraries,,missing,missing,,
Where I End and You Begin,"Norton, Preston",2,2,2,Banned Pending Investigation,,missing,missing,,
Why Comics?: From Underground to Everywhere,"Chute, Hillary L.",2,1,2,Banned in Libraries and Classrooms,,missing,missing,,
Wicked: The Life and Times of the Wicked Witch of the West,"Maguire, Gregory",2,2,2,Banned Pending Investigation,,missing,missing,,
#Hockey,"Ukazu, Ngozi",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
"10,000 Dresses","Ewert, Marcus",1,1,1,Banned in Libraries,,missing,missing,,
"1001 Comics You Must Read Before You Die: The Ultimate Guide to Comic Books, Graphic Novels, and Manga","Gravett, Paul",1,1,1,Banned Pending Investigation,,missing,missing,,
1984: The Graphic Novel,"Orwell, George",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
"20,000 Leagues Under the Sea (Graphic Novel)","Verne, Jules",1,1,1,Banned in Libraries,,missing,missing,,
47,"Mosley, Walter",1,1,1,Banned Pending Investigation,,missing,missing,,
50 Artists You Should Know,"Köster, Thomas",1,1,1,Banned Pending Investigation,,missing,missing,,
50 Paintings You Should Know,"Lowis, Kristina",1,1,1,Banned Pending Investigation,,missing,missing,,
50 Sculptures You Should Know,"Kühl, Isabel",1,1,1,Banned Pending Investigation,,missing,missing,,
50 Women Artists You Should Know,"Weidemann, Christiane",1,1,1,Banned Pending Investigation,,missing,missing,,
A + E 4ever,"Merey, I.",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
A Baby Doesn't Make the Man: Alternative Sources of Power and Manhood for Young Men,"Jamiolkowski, Raymond",1,1,1,Banned Pending Investigation,,missing,missing,,
A Bad Boy Can Be Good for a Girl,"Stone, Tanya Lee",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
A Brief History of Manga,"McCarthy, Helen",1,1,1,Banned Pending Investigation,,missing,missing,,
A Clash of Kings,"Martin, George R.R.",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
A Dance with Dragons,"Martin, George R.R.",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
A Feast for Crows,"Martin, George R.R.",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
A Game of Thrones,"Martin, George R.R.",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
"A Game of Thrones: The Graphic Novel, Vol. 1","Martin, George R.R.",1,1,1,Banned in Libraries,,missing,missing,,
"A Game of Thrones: The Graphic Novel, Vol. 2","Martin, George R.R.",1,1,1,Banned in Libraries,,missing,missing,,
"A Game of Thrones: The Graphic Novel, Vol. 3","Martin, George R.R.",1,1,1,Banned in Libraries,,missing,missing,,
"A Game of Thrones: The Graphic Novel, Vol. 4","Martin, George R.R.",1,1,1,Banned in Libraries,,missing,missing,,
A Gift for a Ghost,"González, Borja",1,1,1,Banned Pending Investigation,,missing,missing,,
A Good Kind of Trouble,"Ramée, Lisa Moore",1,1,1,Banned Pending Investigation,,missing,missing,,
A History of Art,"Perdew, Laura",1,1,1,Banned Pending Investigation,,missing,missing,,
A Lesson in Vengeance,"Lee, Victoria",1,1,1,Banned Pending Investigation,,missing,missing,,
A Map to the Sun,"Leong, Sloane",1,1,1,Banned Pending Investigation,,missing,missing,,
A Million Shades of Gray,"Kadohata, Cynthia",1,1,1,Banned in Libraries,,missing,missing,,
A Rational Explanation,"Youngblood, Tiffany",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
A Sense of the Infinite,"Smith, Hilary T.",1,1,1,Banned in Libraries,,missing,missing,,
A Storm of Swords,"Martin, George R.R.",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
A Story about Cancer with a Happy Ending,"Desjardins, India",1,1,1,Banned Pending Investigation,,missing,missing,,
Ace of Spades,"Àbíké-Íyímídé, Faridah",1,1,1,Banned Pending Investigation,,missing,missing,,
Adventures of a Kid Magician,"Flom, Justin",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
African Art: An Introduction,"Willett, Frank",1,1,1,Banned Pending Investigation,,missing,missing,,
After,"Efaw, Amy",1,1,1,Banned Pending Investigation,,missing,missing,,
Afterward,"Mathieu, Jennifer",1,1,1,Banned Pending Investigation,,missing,missing,,
Afterworlds,"Westerfeld, Scott",1,1,1,Banned Pending Investigation,,missing,missing,,
