title,author,occurrenceCount,statesCount,districtsCount,topBanStatus,matchedSlug,matchType,status,existingCompleteness,notes
Alan Moore's America's Best Comics,"Moore, Alan",1,1,1,Banned Pending Investigation,,missing,missing,,
Aleutian Sparrow,"Hesse, Karen",1,1,1,Banned in Libraries,,missing,missing,,
All American Boys,"Reynolds, Jason",1,1,1,Banned Pending Investigation,,missing,missing,,
All Out: The No-Longer-Secret Stories of Queer Teens Throughout the Ages,"Mitchell, Saundra",1,1,1,Banned Pending Investigation,,missing,missing,,
All the Bad Apples,"Fowley-Doyle, Moïra",1,1,1,Banned Pending Investigation,,missing,missing,,
All-Action Classics No. 3: The Odyssey,Homer,1,1,1,Banned Pending Investigation,all-action-classics-no-3-the-odyssey,title_author,exists_incomplete,incomplete_affiliate,Matched by normalized title/author to all-action-classics-no-3-the-odyssey
Alt Ed,"Atkins, Catherine",1,1,1,Banned Pending Investigation,,missing,missing,,
"Altered Carbon: One Life, One Death","Morgan, Richard K.",1,1,1,Banned Pending Investigation,,missing,missing,,
"Always and Forever, Lara Jean","Han, Jenny",1,1,1,Banned in Libraries,,missing,missing,,
Ambush,"Skye, Obert",1,1,1,Banned in Libraries,,missing,missing,,
American Gods,"Gaiman, Neil",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
"American Gods, Vol. 1: Shadows","Gaiman, Neil",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
"American Gods, Vol. 2: My Ainsel","Gaiman, Neil",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
An American Plague: The True and Terrifying Story of the Yellow Fever Epidemic of 1793,"Murphy, Jim",1,1,1,Banned in Libraries,,missing,missing,,
An Introduction to Drawing: An Artist's Guide to Skills & Techniques,"Hazlewood, Robin",1,1,1,Banned Pending Investigation,,missing,missing,,
An Introduction to Oil Painting,"Smith, Ray",1,1,1,Banned Pending Investigation,,missing,missing,,
An Introduction to Watercolor,"Smith, Ray",1,1,1,Banned Pending Investigation,,missing,missing,,
Ana on the Edge,"Sass, A. J.",1,1,1,Banned in Libraries,,missing,missing,,
Anansi Boys,"Gaiman, Neil",1,1,1,Banned Pending Investigation,,missing,missing,,
Anatomy of a Boyfriend,"Snadowsky, Daria",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
Anatomy of a Single Girl,"Snadowsky, Daria",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
And I Darken,"White, Kiersten",1,1,1,Banned in Libraries,,missing,missing,,
And Still I Rise: Black America Since MLK,"Gates, Henry L.",1,1,1,Banned Pending Investigation,,missing,missing,,
And They Lived...,"Salvatore, Steven",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
André Kertész,"Greenough, Sarah",1,1,1,Banned Pending Investigation,,missing,missing,,
Animal Stories,"Hoey, Peter",1,1,1,Banned Pending Investigation,,missing,missing,,
Anne of Avonlea,"Montgomery, L. M.",1,1,1,Banned in Libraries,,missing,missing,,
Annie Leibovitz at Work,"Leibovitz, Annie",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
Annihilation,"VanderMeer, Jeff",1,1,1,Banned Pending Investigation,,missing,missing,,
Antiracist Baby,"Kendi, Ibram X.",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
Antonio's Card/La tarjeta de Antonio,"González, Rigoberto",1,1,1,Banned Pending Investigation,,missing,missing,,
Ark Angel,"Horowitz, Anthony",1,1,1,Banned in Libraries,,missing,missing,,
Art That Changed the World,"Chilvers, Ian",1,1,1,Banned Pending Investigation,,missing,missing,,
Art: A World History,"Buchholz, Elke Linda",1,1,1,Banned Pending Investigation,,missing,missing,,
Art: Annotated Guides,"Cumming, Robert",1,1,1,Banned Pending Investigation,,missing,missing,,
As I Descended,"Talley, Robin",1,1,1,Banned Pending Investigation,,missing,missing,,
Ash,"Lo, Malinda",1,1,1,Banned Pending Investigation,,missing,missing,,
Asking for It,"O'Neill, Louise",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
Authority,"VanderMeer, Jeff",1,1,1,Banned Pending Investigation,,missing,missing,,
Autoboyography,"Lauren, Christina",1,1,1,Banned Pending Investigation,,missing,missing,,
Babylonian Mythology,"Nardo, Don",1,1,1,Banned Pending Investigation,,missing,missing,,
Batman: The Dark Knight Strikes Again,"Miller, Frank",1,1,1,Banned Pending Investigation,,missing,missing,,
Batman: The Killing Joke,"Moore, Alan",1,1,1,Banned in Libraries,,missing,missing,,
Batman: White Knight,"Murphy, Sean",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
Beartown,"Backman, Fredrik",1,1,1,Banned Pending Investigation,,missing,missing,,
Beasts of Burden: Animal Rites,"Dorkin, Evan",1,1,1,Banned Pending Investigation,,missing,missing,,
Before We Were Free,"Alvarez, Julia",1,1,1,Banned in Libraries,,missing,missing,,
Better Nate Than Ever,"Federle, Tim",1,1,1,Banned Pending Investigation,,missing,missing,,
Better Than Perfect,"Elkeles, Simone",1,1,1,Banned in Libraries,,missing,missing,,
"Big Bob, Little Bob","Howe, James",1,1,1,Banned Pending Investigation,,missing,missing,,
Bingo Love #1,"Franklin, Tee",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
Bird Box,"Malerman, Josh",1,1,1,Banned Pending Investigation,,missing,missing,,
Birthday,"Russo, Meredith",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
"Black Brother, Black Brother","Parker Rhodes, Jewell",1,1,1,Banned Pending Investigation,,missing,missing,,
"Black Butler, Vol. 29","Toboso, Yana",1,1,1,Banned Pending Investigation,,missing,missing,,
Black Girl Unlimited: The Remarkable Story of a Teenage Wizard,"Brown, Echo",1,1,1,Banned Pending Investigation,,missing,missing,,
Black Holes and Baby Universes and Other Essays,"Hawking, Stephen",1,1,1,Banned Pending Investigation,,missing,missing,,
Black is a Rainbow Color,"Joy, Angela",1,1,1,Banned Pending Investigation,,missing,missing,,
Black Magick: Awakening,"Rucka, Greg",1,1,1,Banned Pending Investigation,,missing,missing,,
Black Road: The Holy North,"Wood, Brian",1,1,1,Banned Pending Investigation,,missing,missing,,
Blackbird: Book 1 The Great Beast,"Humphries, Sam",1,1,1,Banned Pending Investigation,,missing,missing,,
"Blade of the Immortal Omnibus, Vol. 3","Samura, Hiroaki",1,1,1,Banned in Libraries,,missing,missing,,
Blankets,"Thompson, Craig",1,1,1,Banned in Libraries,,missing,missing,,
"Bleach, Vol. 21","Kubo, Tite",1,1,1,Banned in Libraries,,missing,missing,,
Bloodlust and Bonnets,"McGovern, Emily",1,1,1,Banned Pending Investigation,,missing,missing,,
Blue Bloods,"de la Cruz, Melissa",1,1,1,Banned in Libraries,,missing,missing,,
Blue Bloods: After Life,"de la Cruz, Melissa",1,1,1,Banned in Libraries,,missing,missing,,
Blue Window,"Gewirtz, Adina Rishe",1,1,1,Banned in Libraries,,missing,missing,,
Blues: A History of American Music,"Handyside, Christopher",1,1,1,Banned Pending Investigation,,missing,missing,,
Bodies Are Cool,"Feder, Tyler",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
Body Talk: 37 Voices Explore Our Radical Anatomy,"Jensen, Kelly",1,1,1,Banned Pending Investigation,,missing,missing,,
"Bone Parish, Vol. 1","Bunn, Cullen",1,1,1,Banned Pending Investigation,,missing,missing,,
"Bone Parish, Vol. 2","Bunn, Cullen",1,1,1,Banned Pending Investigation,,missing,missing,,
"Bone Parish, Vol. 3","Bunn, Cullen",1,1,1,Banned Pending Investigation,,missing,missing,,
Born Ready: The True Story of a Boy Named Penelope,"Patterson, Jodie",1,1,1,Banned Pending Investigation,,missing,missing,,
Bosch: The Garden of Earthly Delights,"Zuffi, Stefano",1,1,1,Banned Pending Investigation,,missing,missing,,
Both Can Be True,"Machias, Jules",1,1,1,Banned in Libraries,,missing,missing,,
Boy2Girl,"Blacker, Terence",1,1,1,Banned Pending Investigation,,missing,missing,,
Brave Face: A Memoir,"Hutchinson, Shaun David",1,1,1,Banned Pending Investigation,,missing,missing,,
Brazen: Rebel Ladies Who Rocked the World,"Bagieu, Pénélope",1,1,1,Banned Pending Investigation,,missing,missing,,
Breakfast of Champions,"Vonnegut Jr., Kurt",1,1,1,Banned in Libraries,,missing,missing,,
Breaking Dawn,"Meyer, Stephanie",1,1,1,Banned in Libraries,,missing,missing,,
Brisingr,"Paolini, Christopher",1,1,1,Banned in Libraries,,missing,missing,,
Broken Beautiful Hearts,"Garcia, Kami",1,1,1,Banned in Libraries,,missing,missing,,
Brown v. Board of Education: A Fight for Simple Justice,"Rubin, Susan Goldman",1,1,1,Banned in Libraries,,missing,missing,,
Bumped,"McCafferty, Megan",1,1,1,Banned Pending Investigation,,missing,missing,,
Call Me Max,"Lukoff, Kyle",1,1,1,Banned Pending Investigation,,missing,missing,,
Calvin,"Ford, J. R.",1,1,1,Banned in Libraries,,missing,missing,,
Catwoman: Soulstealer,"Maas, Sarah J.",1,1,1,Banned in Libraries,,missing,missing,,
Cezanne: Mont Sainte Victoire,"Zeri, Federico",1,1,1,Banned Pending Investigation,,missing,missing,,
Chagall: The Falling Angel,"Zeri, Federico",1,1,1,Banned Pending Investigation,,missing,missing,,
Challenger Deep,"Shusterman, Neal",1,1,1,Banned in Libraries,,missing,missing,,
Chaucer's Canterbury Tales,"Williams, Marcia",1,1,1,Banned Pending Investigation,,missing,missing,,
Cherry,"Rosin, Lindsey",1,1,1,Banned Pending Investigation,,missing,missing,,
Cheshire Crossing,"Weir, Andy",1,1,1,Banned in Libraries,,missing,missing,,
Chicken Girl,"Smith, Heather",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
Choke,"Skye, Obert",1,1,1,Banned in Libraries,,missing,missing,,
Chosen,"Cast, P. C.",1,1,1,Banned Pending Investigation,,missing,missing,,
"Citrus Plus, Vol. 1",Saburouta,1,1,1,Banned in Libraries,citrus-plus,title_author,exists_incomplete,incomplete_affiliate,Matched by normalized title/author to citrus-plus
"Citrus Plus, Vol. 2",Saburouta,1,1,1,Banned in Libraries,citrus-plus,variant,manual_review,incomplete_affiliate,94% title match with citrus-plus
City Love,"Colasanti, Susane",1,1,1,Banned in Libraries,,missing,missing,,
"City of Light, City of Dark",Avi,1,1,1,Banned in Libraries,city-of-light-city-of-dark,title_author,exists_incomplete,incomplete_content,Matched by normalized title/author to city-of-light-city-of-dark
City of Thieves,"Benioff, David",1,1,1,Banned Pending Investigation,,missing,missing,,
Code of Honor,"Gratz, Alan",1,1,1,Banned in Libraries,,missing,missing,,
Complete Guide to Drawing and Painting,Reader's Digest Editors,1,1,1,Banned Pending Investigation,complete-guide-to-drawing-and-painting,title_author,exists_incomplete,incomplete_content,Matched by normalized title/author to complete-guide-to-drawing-and-painting
Confess,"Hoover, Colleen",1,1,1,Banned Pending Investigation,,missing,missing,,
Consent,"Ohlin, Nancy",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
Cool for the Summer,"Adler, Dahlia",1,1,1,Banned Pending Investigation,,missing,missing,,
Court of Lions,"Daud, Somaiya",1,1,1,Banned in Libraries,,missing,missing,,
"Coyotes, Vol. 1","Lewis, Sean",1,1,1,Banned Pending Investigation,,missing,missing,,
"Coyotes, Vol. 2","Lewis, Sean",1,1,1,Banned Pending Investigation,,missing,missing,,
Crime and Punishment: The Graphic Novel,"Tezuka, Osamu",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
Criss Cross,"Perkins, Lynne Rae",1,1,1,Banned in Libraries,,missing,missing,,
Cursed Pirate Girl,"Bastian, Jeremy A.",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
Cut Both Ways,"Mesrobian, Carrie",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
D-Day: The World War II Invasion that Changed History,"Hopkinson, Deborah",1,1,1,Banned in Libraries,,missing,missing,,
Dali: The Persistence of Memory,"Zeri, Federico",1,1,1,Banned Pending Investigation,,missing,missing,,
Dangerous Woman: The Graphic Biography of Emma Goldman,"Rudahl, Sharon",1,1,1,Banned in Libraries,,missing,missing,,
Darius the Great Deserves Better,"Khorram, Adib",1,1,1,Banned Pending Investigation,,missing,missing,,
"Date Me, Bryson Keller","van Whye, Kevin",1,1,1,Banned in Libraries,,missing,missing,,
Date Rape (At Issue),"Watkins, Christine",1,1,1,Banned in Libraries,,missing,missing,,
Dateable: Are You? Are They?,"Lookadoo, Justin",1,1,1,Banned Pending Investigation,,missing,missing,,
Daughter of Smoke and Bone,"Taylor, Laini",1,1,1,Banned in Libraries,,missing,missing,,
Daughters Unto Devils,"Lukavics, Amy",1,1,1,Banned in Libraries,,missing,missing,,
Days of Blood and Starlight,"Taylor, Laini",1,1,1,Banned in Libraries,,missing,missing,,
Dead and the Dark,"Gould, Courtney",1,1,1,Banned in Libraries,,missing,missing,,
Deadly Class,"Remender, Rick",1,1,1,Banned Pending Investigation,,missing,missing,,
"Deadly Class, Vol. 1: Reagan Youth","Remender, Rick",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
"Dear Diary, I'm Pregnant: Teenagers Talk About their Pregnancy","Englander, Anrenee",1,1,1,Banned Pending Investigation,,missing,missing,,
Dear Justyce,"Stone, Nic",1,1,1,Banned in Libraries,,missing,missing,,
Deep Dark Fears,"Krause, Fran",1,1,1,Banned Pending Investigation,,missing,missing,,
Defy the Night,"Kemmerer, Brigid",1,1,1,Banned in Libraries,,missing,missing,,
Degas: Impressions of a Great Master,"Gruitrooy, Gerhard",1,1,1,Banned Pending Investigation,,missing,missing,,
Degas: The Dance Class,"Zeri, Federico",1,1,1,Banned Pending Investigation,,missing,missing,,
Democracy,"Papadatos, Alecos",1,1,1,Banned Pending Investigation,,missing,missing,,
Dicey's Song,"Voigt, Cynthia",1,1,1,Banned in Libraries,,missing,missing,,
Different Kinds of Fruit,"Lukoff, Kyle",1,1,1,Banned in Libraries,,missing,missing,,
Discovering Mythology - Gods and Goddesses,"Mass, Wendy",1,1,1,Banned Pending Investigation,,missing,missing,,
Don't Know Much About Mythology: Everything You Need to Know About the Greatest Stories in Human History but Never Learned,"Davis, Kenneth C.",1,1,1,Banned Pending Investigation,,missing,missing,,
Doomraga's Revenge,"Barron, T.A.",1,1,1,Banned in Libraries,,missing,missing,,
Draw Me a Star,"Carle, Eric",1,1,1,Banned Pending Investigation,,missing,missing,,
Dreams of Gods and Monsters,"Taylor, Laini",1,1,1,Banned in Libraries,,missing,missing,,
Eagle Strike,"Horowitz, Anthony",1,1,1,Banned in Libraries,,missing,missing,,
Eden Conquered,"Charbonneau, Joelle",1,1,1,Banned in Libraries,,missing,missing,,
Edward Hopper: A Modern Master,"Berkow, Ita G.",1,1,1,Banned Pending Investigation,,missing,missing,,
Eldest,"Paolini, Christopher",1,1,1,Banned in Libraries,,missing,missing,,
"Eleanor Roosevelt, Fighter for Justice: Her Impact on the Civil Rights Movement, the White House, and the World","Cooper, Ilene",1,1,1,Banned in Libraries,,missing,missing,,
Embrace,"Shirvington, Jessica",1,1,1,Banned Pending Investigation,,missing,missing,,
Emergency Contact,"Choi, Mary H.K.",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
Epileptic,"B., David",1,1,1,Banned Pending Investigation,,missing,missing,,
Eragon,"Paolini, Christopher",1,1,1,Banned in Libraries,,missing,missing,,
Even If I Fall,"Johnson, Abigail",1,1,1,Banned in Libraries,,missing,missing,,
Every Hidden Thing,"Oppel, Kenneth",1,1,1,Banned in Libraries,,missing,missing,,
Eyes of the Forest,"Henry, April",1,1,1,Banned in Libraries,,missing,missing,,
Fable,"Young, Adrienne",1,1,1,Banned Pending Investigation,,missing,missing,,
Falling Over Sideways,"Sonnenblick, Jordan",1,1,1,Banned in Libraries,,missing,missing,,
Fangirl,"Rowell, Rainbow",1,1,1,Banned Pending Investigation,,missing,missing,,
Fantastic Four By Mark Waid and Mike Wieringo: Ultimate Collection - Book One (Fantastic Four 1998-2012),"Waid, Mark",1,1,1,Banned Pending Investigation,,missing,missing,,
Fences,"Wilson, August",1,1,1,Banned in Classrooms,,missing,missing,,
Feynman,"Ottaviani, Jim",1,1,1,Banned Pending Investigation,,missing,missing,,
Filmish: A Graphic Journey Through Film,"Ross, Edward",1,1,1,Banned Pending Investigation,,missing,missing,,
Finding Cinderella,"Hoover, Colleen",1,1,1,Banned Pending Investigation,,missing,missing,,
"Fire Force, Vol. 1","Ohkubo, Atsushi",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
Fire Star,"d'Lacey, Chris",1,1,1,Banned in Libraries,,missing,missing,,
Fire Will Fall,"Plum-Ucci, Carol",1,1,1,Banned in Libraries,,missing,missing,,
Firebug,"McBride, Lish",1,1,1,Banned in Libraries,,missing,missing,,
Flawed,"Dorfman, Andrea",1,1,1,Banned Pending Investigation,,missing,missing,,
Flowers in the Attic,"Andrews, V.C.",1,1,1,Banned in Libraries,,missing,missing,,
Forbidden,"Suzuma, Tabitha",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
Frankie & Bug,"Forman, Gayle",1,1,1,Banned in Libraries,,missing,missing,,
Fred Gets Dressed,"Brown, Peter",1,1,1,Banned Pending Investigation,,missing,missing,,
Friends Forever,"Hale, Shannon",1,1,1,Banned in Libraries,,missing,missing,,
From Blood and Ash,"Armentrout, Jennifer L.",1,1,1,Banned Pending Investigation,,missing,missing,,
From the Notebooks of Melanin Sun,"Woodson, Jacqueline",1,1,1,Banned Pending Investigation,,missing,missing,,
Frost Like Night,"Raasch, Sara",1,1,1,Banned in Libraries,,missing,missing,,
Full Bloom: The Art and Life of Georgia O' Keefe,"Drohojowska-Philip, Hunter",1,1,1,Banned Pending Investigation,,missing,missing,,
Gates of Paradise,"de la Cruz, Melissa",1,1,1,Banned in Libraries,,missing,missing,,
"Gender Danger: Survivors of Rape, Human Trafficking, and Honor Killings","Simons, Rae",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
Gender Identity (Teen Mental Health),"Petrikowski, Nicki Peter",1,1,1,Banned Pending Investigation,,missing,missing,,
Gender Issues,"McIntosh, Kenneth",1,1,1,Banned Pending Investigation,,missing,missing,,
Gender Outlaws: The Next Generation,"Bornstein, Kate",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
Giant Days,"Allison, John",1,1,1,Banned Pending Investigation,,missing,missing,,
Giant Days: Not On the Test Edition Vol. 1 - Fall Semester,"Allison, John",1,1,1,Banned Pending Investigation,,missing,missing,,
Giant Days: Not On the Test Edition Vol. 2 - Winter Semester,"Allison, John",1,1,1,Banned Pending Investigation,,missing,missing,,
Gilgamesh: A Graphic Novel,"Winegarner, Andrew",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
Girl in Pieces,"Glasgow, Kathleen",1,1,1,Banned Pending Investigation,,missing,missing,,
Girl Talk: The Ultimate Body & Puberty Book for Girls,Editors of Cider Mill Press,1,1,1,Banned Pending Investigation,girl-talk-the-ultimate-body-puberty-book-for-girls,title_author,exists_incomplete,incomplete_content,Matched by normalized title/author to girl-talk-the-ultimate-body-puberty-book-for-girls
"Girl, (Nearly) 16: Absolute Torture","Limb, Sue",1,1,1,Banned Pending Investigation,,missing,missing,,
Girls Like Us (2015),"Giles, Gail",1,1,1,Banned Pending Investigation,,missing,missing,,
GLBTQ*: The Survival Guide for Queer & Questioning Teens,"Huegel, Kelly",1,1,1,Banned Pending Investigation,,missing,missing,,
Glitter,"Daniels, Babygirl",1,1,1,Banned Pending Investigation,,missing,missing,,
Go with the Flow,"Williams, Lily",1,1,1,Banned Pending Investigation,,missing,missing,,
Good Talk: A Memoir in Conversations,"Jacob, Mira",1,1,1,Banned Pending Investigation,,missing,missing,,
Gracefully Grayson,"Polonsky, Ami",1,1,1,Banned in Libraries,,missing,missing,,
Graceling,"Cashore, Kristin",1,1,1,Banned Pending Investigation,,missing,missing,,
Graphic Classics Volume 8: Mark Twain - 2nd Edition,"Twain, Mark",1,1,1,Banned Pending Investigation,,missing,missing,,
Graphic Classics: Bram Stoker,"Pomplun, Tom",1,1,1,Banned Pending Investigation,,missing,missing,,
Graphic Classics: Edgar Allan Poe,"Pomplun, Tom",1,1,1,Banned Pending Investigation,,missing,missing,,
Graphic Design: A New History,"Eskilson, Stephen J.",1,1,1,Banned Pending Investigation,,missing,missing,,
Grass,"Gendry-Kim, Keum Suk",1,1,1,Banned Pending Investigation,,missing,missing,,
Great Masterpieces of the World,"Korn, Irene",1,1,1,Banned Pending Investigation,,missing,missing,,
Green River Killer: A True Detective Story,"Jensen, Jeff",1,1,1,Banned Pending Investigation,,missing,missing,,
Ground Zero,"Gratz, Alan",1,1,1,Banned Pending Investigation,,missing,missing,,
Grown in 60 Seconds,"Lee, Darrien",1,1,1,Banned Pending Investigation,,missing,missing,,
Guyaholic,"Mackler, Carolyn",1,1,1,Banned Pending Investigation,,missing,missing,,
Hands Up!,"McDaniel, Breanna J.",1,1,1,Banned Pending Investigation,,missing,missing,,
Harry Callahan: The Photographer at Work,"Salvesen, Britt",1,1,1,Banned Pending Investigation,,missing,missing,,
"Healing Sexual Trauma Workbook: Somatic Skills to Help You Feel Safe in Your Body, Create Boundaries, and Live with Resilience","Shershun, Erika",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
Hear These Voices: Youth at the Edge of the Millennium,"Allison, Anthony",1,1,1,Banned Pending Investigation,,missing,missing,,
"Heartstopper, Vol. 1","Oseman, Alice",1,1,1,Banned Pending Investigation,,missing,missing,,
"Heartstopper, Vol. 2","Oseman, Alice",1,1,1,Banned Pending Investigation,,missing,missing,,
"Heartstopper, Vol. 3","Oseman, Alice",1,1,1,Banned Pending Investigation,,missing,missing,,
"Heartstopper, Vol. 4","Oseman, Alice",1,1,1,Banned Pending Investigation,,missing,missing,,
History of Western Art in Comics Part One: From Prehistory to the Renaissance,"Augustin, Marion",1,1,1,Banned Pending Investigation,,missing,missing,,
Hitler's Final Solution,"Allen, John",1,1,1,Banned Pending Investigation,,missing,missing,,
Hollow City: The Graphic Novel,"Riggs, Ransom",1,1,1,Banned Pending Investigation,,missing,missing,,
