title,author,occurrenceCount,statesCount,districtsCount,topBanStatus,matchedSlug,matchType,status,existingCompleteness,notes
Striving for Equality: LGBTQ Athletes Claim the Field,"Cronn-Mills, Kirstin",1,1,1,Banned Pending Investigation,,missing,missing,,
"Sumomomo, Momomo: The Strongest Bride on Earth, Vol. 1","Ohtaka, Shinobu",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
Super Sisters,"Cazenove, Christopher",1,1,1,Banned Pending Investigation,,missing,missing,,
SuperMutant Magic Academy,"Tamaki, Jillian",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
Surviving Antarctica: Reality TV 2083,"White, Andrea",1,1,1,Banned in Libraries,,missing,missing,,
Symptoms of Being Human,"Garvin, Jeff",1,1,1,Banned Pending Investigation,,missing,missing,,
Tar Baby,"Morrison, Toni",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
Tattoo Atlas,"Floreen, Tim",1,1,1,Banned Pending Investigation,,missing,missing,,
Teenage Sex and Pregnancy,"Parks, Peggy J.",1,1,1,Banned Pending Investigation,,missing,missing,,
Teens and LGBT Issues,"Wilcox, Christine",1,1,1,Banned Pending Investigation,,missing,missing,,
The 1619 Project : Born on the Water,"Hannah-Jones, Nikole",1,1,1,Banned in Classrooms,,missing,missing,,
The 1619 Project: A New Origin Story,"Hannah-Jones, Nikole",1,1,1,Banned Pending Investigation,,missing,missing,,
The Abduction,"Grisham, John",1,1,1,Banned in Libraries,,missing,missing,,
The Accomplice,"Grisham, John",1,1,1,Banned in Libraries,,missing,missing,,
The Accused,"Grisham, John",1,1,1,Banned in Libraries,,missing,missing,,
The Activist,"Grisham, John",1,1,1,Banned in Libraries,,missing,missing,,
The Ancient Greeks,"Schomp, Virginia",1,1,1,Banned Pending Investigation,,missing,missing,,
"The Annotated Mona Lisa, Third Edition: A Crash Court in Art History from Prehistoric to the Present (Volume 3)","Strickland, Carol",1,1,1,Banned Pending Investigation,,missing,missing,,
The Apparatus of Death - The Third Reich,"Flaherty, Thomas",1,1,1,Banned Pending Investigation,,missing,missing,,
The Art of Comics,"Kallen, Stuart A.",1,1,1,Banned Pending Investigation,,missing,missing,,
The Battle Against Polio,"Peters, Stephanie True",1,1,1,Banned in Libraries,,missing,missing,,
"The Beautiful Stories of Life: Six Greeks Myths, Retold","Rylant, Cynthia",1,1,1,Banned Pending Investigation,,missing,missing,,
The Beauty of Darkness,"Pearson, Mary E.",1,1,1,Banned in Libraries,,missing,missing,,
The Best We Could Do: An Illustrated Memoir,"Bui, Thi",1,1,1,Banned Pending Investigation,,missing,missing,,
The Bible,Unknown,1,1,1,Banned Pending Investigation,the-bible,title_author,exists_incomplete,incomplete_content,Matched by normalized title/author to the-bible
The Big Questions Book of Sex and Consent,"Freitas, Donna",1,1,1,Banned in Libraries,,missing,missing,,
The Black Monday Murders,"Hickman, Jonathan",1,1,1,Banned Pending Investigation,,missing,missing,,
The Book of Magic,"Barron, T.A.",1,1,1,Banned in Libraries,,missing,missing,,
The Boy Who Dared,"Campbell Bartoletti, Susan",1,1,1,Banned in Libraries,,missing,missing,,
The Bridge,"Konigsberg, Bill",1,1,1,Banned Pending Investigation,,missing,missing,,
The Camelot Betrayal,"White, Kiersten",1,1,1,Banned in Libraries,,missing,missing,,
The Cape,"Hill, Joe",1,1,1,Banned Pending Investigation,,missing,missing,,
The Children's Bible,"Tagholm, Sally",1,1,1,Banned Pending Investigation,,missing,missing,,
The Chupacabra,"Flitcroft, Jean",1,1,1,Banned in Libraries,,missing,missing,,
The City We Became: A Novel,"Jemisin, N. K.",1,1,1,Banned Pending Investigation,,missing,missing,,
The Complete Idiot's Guide to Drawing Manga: Illustrated,"Layman, John",1,1,1,Banned Pending Investigation,,missing,missing,,
The Complete Idiot's Guide to Drawing People Illustrated,"Hoddinott, Brenda",1,1,1,Banned Pending Investigation,,missing,missing,,
The Cost of Knowing,"Morris, Brittney",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
The Country of Ice Cream Star,"Newman, Sandra",1,1,1,Banned Pending Investigation,,missing,missing,,
The Creeps: A Deep Dark Fears Collection,"Krause, Fran",1,1,1,Banned Pending Investigation,,missing,missing,,
The Dark and Hollow Places,"Ryan, Carrie",1,1,1,Banned in Libraries,,missing,missing,,
The Dark Tide,"Jasinska, Alicia",1,1,1,Banned in Libraries,,missing,missing,,
The Dazzling Heights,"McGee, Katharine",1,1,1,Banned in Libraries,,missing,missing,,
The Dead Inside,"Etler, Cyndy Drew",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
The Dead-Tossed Waves,"Ryan, Carrie",1,1,1,Banned in Libraries,,missing,missing,,
The Deadliest Diseases Then and Now,"Hopkinson, Deborah",1,1,1,Banned Pending Investigation,,missing,missing,,
The Death of Bees,"O'Donnell, Lisa",1,1,1,Banned Pending Investigation,,missing,missing,,
The Devil's Intern,"Hosie, Donna",1,1,1,Banned in Libraries,,missing,missing,,
The Dirt on Mr. Claxton,"Youngblood, Tiffany",1,1,1,Banned in Libraries,,missing,missing,,
The Duel: The Parallel Lives of Alexander Hamilton and Aaron Burr,"St. George, Judith",1,1,1,Banned in Libraries,,missing,missing,,
The Edge,"Smith, Roland",1,1,1,Banned in Libraries,,missing,missing,,
The Epidemic,"Young, Suzanne",1,1,1,Banned in Libraries,,missing,missing,,
The Essential Claude Monet,"Morris, Catherine",1,1,1,Banned Pending Investigation,,missing,missing,,
The Essential Edward Hopper,"Spring, Justin",1,1,1,Banned Pending Investigation,,missing,missing,,
The Essential Henri Matisse,"Schaffner, Ingrid",1,1,1,Banned Pending Investigation,,missing,missing,,
The Essential Hieronymus Bosch,"Campbell, W. John",1,1,1,Banned Pending Investigation,,missing,missing,,
The Essential Johannes Vermeer,"Sweet, Christopher",1,1,1,Banned Pending Investigation,,missing,missing,,
The Essential Mary Cassatt,"Gouveia, Georgette",1,1,1,Banned Pending Investigation,,missing,missing,,
The Essential Michelangelo,"Ottomann, Klaus",1,1,1,Banned Pending Investigation,,missing,missing,,
The Essential Pablo Picasso,"Schaffner, Ingrid",1,1,1,Banned Pending Investigation,,missing,missing,,
The Essential Salvador Dali,"Goff, Robert",1,1,1,Banned Pending Investigation,,missing,missing,,
The Essential Vincent van Gogh,"Schaffner, Ingrid",1,1,1,Banned Pending Investigation,,missing,missing,,
The Eternal Flame,"Barron, T.A.",1,1,1,Banned in Libraries,,missing,missing,,
The Event,"Lemire, Jeff",1,1,1,Banned Pending Investigation,,missing,missing,,
The Exact Opposite of Okay,"Steven, Laura",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
The Family Book,"Parr, Todd",1,1,1,Banned Pending Investigation,,missing,missing,,
The Fellowship of the Ring,"Tolkien, J.R.R.",1,1,1,Banned in Libraries,,missing,missing,,
The Fire,"Patterson, James",1,1,1,Banned in Libraries,,missing,missing,,
The Fire Never Goes Out: A Memoir in Pictures,"Stevenson, Noelle",1,1,1,Banned Pending Investigation,,missing,missing,,
The Fire Next Time,"Baldwin, James",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
The Fires of Merlin,"Barron, T.A.",1,1,1,Banned in Libraries,,missing,missing,,
The Fixer,"Barnes, Jennifer Lynn",1,1,1,Banned Pending Investigation,,missing,missing,,
The Forest of Hands and Teeth,"Ryan, Carrie",1,1,1,Banned in Libraries,,missing,missing,,
The Fugitive,"Grisham, John",1,1,1,Banned in Libraries,,missing,missing,,
The Gadgets,"Horowitz, Anthony",1,1,1,Banned in Libraries,,missing,missing,,
The Gender Quest Workbook: A Guide for Teens and Young Adults Exploring Gender Identity,"Testa, Rylan Jay",1,1,1,Banned Pending Investigation,,missing,missing,,
The Gettysburg Address: A Graphic Adaptation,"Hennessey, Jonathan",1,1,1,Banned Pending Investigation,,missing,missing,,
The Gift,"Patterson, James",1,1,1,Banned in Libraries,,missing,missing,,
The Girl Who Fell from the Sky,"Durrow, Heidi W.",1,1,1,Banned in Libraries,,missing,missing,,
The Girls I've Been,"Sharpe, Tess",1,1,1,Banned Pending Investigation,,missing,missing,,
The Giver,"Lowry, Lois",1,1,1,Banned in Libraries,,missing,missing,,
The Giver: Graphic Novel,"Lowry, Lois",1,1,1,Banned Pending Investigation,,missing,missing,,
The Glass Castle,"Walls, Jeannette",1,1,1,Banned Pending Investigation,,missing,missing,,
The God of Small Things,"Roy, Arundhati",1,1,1,Banned Pending Investigation,,missing,missing,,
The Golden Sheep 1,"Ozaki, Kaori",1,1,1,Banned Pending Investigation,,missing,missing,,
The Good Earth (Graphic Adaptation),"Buck, Pearl S.",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
The Grand Escape: The Greatest Prison Breakout of the 20th Century,"Bascomb, Neal",1,1,1,Banned in Libraries,,missing,missing,,
The Great American Whatever,"Federle, Tim",1,1,1,Banned Pending Investigation,,missing,missing,,
The Great Tree of Avalon: Child of the Dark Prophecy,"Barron, T.A.",1,1,1,Banned in Libraries,,missing,missing,,
The Grief Keeper,"Villasante, Alexandra",1,1,1,Banned Pending Investigation,,missing,missing,,
The Grimm Legacy,"Shulman, Polly",1,1,1,Banned in Libraries,,missing,missing,,
The Handsome Girl & Her Beautiful Boy,"Gottfred, B. T.",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
The Heart of Betrayal,"Pearson, Mary E.",1,1,1,Banned in Libraries,,missing,missing,,
The Hill,"Bryan, Ali",1,1,1,Banned Pending Investigation,,missing,missing,,
The History of Art,"Hodge, A.N.",1,1,1,Banned Pending Investigation,,missing,missing,,
The History of the Blues,"Koopmans, Andy",1,1,1,Banned Pending Investigation,,missing,missing,,
The History of Western Painting,"Forte, Virginia",1,1,1,Banned Pending Investigation,,missing,missing,,
The History of Western Sculpture,"Osier, Peter",1,1,1,Banned Pending Investigation,,missing,missing,,
The Hobbit,"Tolkien, J.R.R.",1,1,1,Banned in Libraries,,missing,missing,,
The House of the Spirits,"Allende, Isabel",1,1,1,Banned Pending Investigation,,missing,missing,,
The Human Body in Action,"Gallavotti, Barbara",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
The Hunting Accident: A True Story of Crime and Poetry,"Carlson, David L.",1,1,1,Banned Pending Investigation,,missing,missing,,
The Immortalists,"Benjamin, Chloe",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
The Invisible Life of Addie LaRue,"Schwab, V. E.",1,1,1,Banned Pending Investigation,,missing,missing,,
The Invisible War: A Tale on Two Scales,"Wild, Ailsa",1,1,1,Banned Pending Investigation,,missing,missing,,
The Kingdom of Little Wounds,"Cokal, Susann",1,1,1,Banned Pending Investigation,,missing,missing,,
The Kiss,"Patterson, James",1,1,1,Banned in Libraries,,missing,missing,,
The Kiss of Deception,"Pearson, Mary E.",1,1,1,Banned Pending Investigation,,missing,missing,,
The Last Halloween: Children,"Howard, Abby",1,1,1,Banned Pending Investigation,,missing,missing,,
The League of Super Feminists,"Malle, Mirion",1,1,1,Banned Pending Investigation,,missing,missing,,
The Life and Art of Paul Gauguin,"Roddam, George",1,1,1,Banned Pending Investigation,,missing,missing,,
The Line,"Hall, Teri",1,1,1,Banned in Libraries,,missing,missing,,
The Lost,"Patterson, James",1,1,1,Banned in Libraries,,missing,missing,,
The Lost Years of Merlin,"Barron, T.A.",1,1,1,Banned in Libraries,,missing,missing,,
"The Low, Low Woods","Machado, Carmen Maria",1,1,1,Banned Pending Investigation,,missing,missing,,
The Mark,"Nadol, Jen",1,1,1,Banned in Libraries,,missing,missing,,
The Melancholy of Haruhi Suzumiya,"Tanigawa, Nagaru",1,1,1,Banned in Libraries,,missing,missing,,
The Midnight Lie,"Rutkoski, Marie",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
The Mirror of Merlin,"Barron, T.A.",1,1,1,Banned in Libraries,,missing,missing,,
The Misfits,"Howe, James",1,1,1,Banned Pending Investigation,,missing,missing,,
The Music of What Happens,"Konigsberg, Bill",1,1,1,Banned Pending Investigation,,missing,missing,,
The Mythics #1: Heroes Reborn,"Ogaki, Philippe",1,1,1,Banned Pending Investigation,,missing,missing,,
The November Criminals,"Munson, Sam",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
The Ocean at the End of the Lane,"Gaiman, Neil",1,1,1,Banned Pending Investigation,,missing,missing,,
The Pacific Giants,"Flitcroft, Jean",1,1,1,Banned in Libraries,,missing,missing,,
The Pants Project,"Clarke, Cat",1,1,1,Banned in Libraries,,missing,missing,,
The Phantom Twin,"Brown, Lisa",1,1,1,Banned in Libraries,,missing,missing,,
The Pride Guide: A Guide to Sexual and Social Health for LGBTQ Youth,"Langford, Jo",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
The Program,"Young, Suzanne",1,1,1,Banned in Libraries,,missing,missing,,
The Remedy,"Young, Suzanne",1,1,1,Banned in Libraries,,missing,missing,,
The Renaissance,"Fitzpatrick, Anne",1,1,1,Banned Pending Investigation,,missing,missing,,
The Return of the King,"Tolkien, J.R.R.",1,1,1,Banned in Libraries,,missing,missing,,
The Rise and Fall of Charles Lindbergh,"Fleming, Candace",1,1,1,Banned in Libraries,,missing,missing,,
The River,"Paulsen, Gary",1,1,1,Banned in Libraries,,missing,missing,,
The Scandal,"Grisham, John",1,1,1,Banned in Libraries,,missing,missing,,
The Seven Songs of Merlin,"Barron, T.A.",1,1,1,Banned in Libraries,,missing,missing,,
The Sigh of Haruhi Suzumiya,"Tanigawa, Nagaru",1,1,1,Banned in Libraries,,missing,missing,,
The Storm in the Barn,"Phelan, Matt",1,1,1,Banned Pending Investigation,,missing,missing,,
The Stranger: The Graphic Novel,"Camus, Albert",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
The Tale of a Body Thief,"Rice, Anne",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
"The Talk: Conversations about Race, Love and Truth","Hudson, Wade",1,1,1,Banned Pending Investigation,,missing,missing,,
"The Teenage Guy's Survival Guide: The Real Deal on Going Out, Growing Up, and Other Guy Stuff","Daldry, Jeremy",1,1,1,Banned Pending Investigation,,missing,missing,,
The Test,"Kern, Peggy",1,1,1,Banned Pending Investigation,,missing,missing,,
The Thousandth Floor,"McGee, Katharine",1,1,1,Banned in Libraries,,missing,missing,,
The Towering Sky,"McGee, Katharine",1,1,1,Banned in Libraries,,missing,missing,,
The Treatment,"Young, Suzanne",1,1,1,Banned in Libraries,,missing,missing,,
The Two Towers,"Tolkien, J.R.R.",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
The Van Alen Legacy,"de la Cruz, Melissa",1,1,1,Banned in Libraries,,missing,missing,,
"The Walking Dead, Vol. 11: Fear the Hunters","Kirkman, Robert",1,1,1,Banned in Libraries,,missing,missing,,
"The Walking Dead, Vol. 4: The Heart's Desire","Kirkman, Robert",1,1,1,Banned in Libraries,,missing,missing,,
"The Walking Dead, Vol. 7: The Calm Before","Kirkman, Robert",1,1,1,Banned in Libraries,,missing,missing,,
"The Walking Dead, Vol. 8: Made to Suffer","Kirkman, Robert",1,1,1,Banned in Libraries,,missing,missing,,
"The Walking Dead: A Continuing Story of Survival Horror, Book 1","Kirkman, Robert",1,1,1,Banned Pending Investigation,,missing,missing,,
"The Walking Dead: A Continuing Story of Survival Horror, Book 10","Kirkman, Robert",1,1,1,Banned Pending Investigation,,missing,missing,,
"The Walking Dead: A Continuing Story of Survival Horror, Book 13","Kirkman, Robert",1,1,1,Banned Pending Investigation,,missing,missing,,
"The Walking Dead: A Continuing Story of Survival Horror, Book 15","Kirkman, Robert",1,1,1,Banned Pending Investigation,,missing,missing,,
"The Walking Dead: A Continuing Story of Survival Horror, Book 16","Kirkman, Robert",1,1,1,Banned Pending Investigation,,missing,missing,,
"The Walking Dead: A Continuing Story of Survival Horror, Book 2","Kirkman, Robert",1,1,1,Banned Pending Investigation,,missing,missing,,
"The Walking Dead: A Continuing Story of Survival Horror, Book 3","Kirkman, Robert",1,1,1,Banned Pending Investigation,,missing,missing,,
"The Walking Dead: A Continuing Story of Survival Horror, Book 4","etler, Cyndy Drew",1,1,1,Banned Pending Investigation,,missing,missing,,
"The Walking Dead: A Continuing Story of Survival Horror, Book 6","Kirkman, Robert",1,1,1,Banned Pending Investigation,,missing,missing,,
"The Walking Dead: A Continuing Story of Survival Horror, Book 7","Kirkman, Robert",1,1,1,Banned Pending Investigation,,missing,missing,,
"The Walking Dead: A Continuing Story of Survival Horror, Book 8","Kirkman, Robert",1,1,1,Banned Pending Investigation,,missing,missing,,
"The Walking Dead: A Continuing Story of Survival Horror, Book 9","Kirkman, Robert",1,1,1,Banned Pending Investigation,,missing,missing,,
The Wings of Merlin,"Barron, T.A.",1,1,1,Banned in Libraries,,missing,missing,,
The Year of the Flood,"Atwood, Margaret",1,1,1,Banned Pending Investigation,,missing,missing,,
The Yellow Birds,"Powers, Kevin",1,1,1,Banned Pending Investigation,,missing,missing,,
There's No Place Like Home,"Calonita, Jen",1,1,1,Banned in Libraries,,missing,missing,,
They Called Themselves The K.K.K.: The Birth of an American Terrorist Group,"Bartoletti, Susan Campbell",1,1,1,Banned Pending Investigation,,missing,missing,,
This Day in June,"Pitman, Gayle E.",1,1,1,Banned Pending Investigation,,missing,missing,,
Those That Wake,"Karp, Jesse",1,1,1,Banned in Libraries,,missing,missing,,
Timescape,"Liparulo, Robert",1,1,1,Banned Pending Investigation,,missing,missing,,
To Kill a Mockingbird,"Lee, Harper",1,1,1,Banned Pending Investigation,,missing,missing,,
Too Bright to See,"Lukoff, Kyle",1,1,1,Banned in Libraries,,missing,missing,,
Toulouse-Lautrec: At the Moulin Rouge,"Zeri, Federico",1,1,1,Banned Pending Investigation,,missing,missing,,
"Trans Bodies, Trans Selves: A Resource By and for Transgender Communities","Erickson-Schroth, Laura",1,1,1,Banned Pending Investigation,,missing,missing,,
"Transgender Lives: Complex Stories, Complex Voice","Cronn-Mills, Kirstin",1,1,1,Banned Pending Investigation,,missing,missing,,
"Troublemaker for Justice: The Story of Bayard Rustin, the Man Behind the March on Washington","Houtman, Jacqueline",1,1,1,Banned in Libraries,,missing,missing,,
ttfn,"Myracle, Lauren",1,1,1,Banned in Libraries,,missing,missing,,
Turtles All the Way Down,"Green, John",1,1,1,Banned in Libraries,,missing,missing,,
Ugly Love,"Hoover, Colleen",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
Ultimate Magic,"Barron, T.A.",1,1,1,Banned in Libraries,,missing,missing,,
Unbecoming: A Memoir of Disobedience,"Bhagwati, Anuradha",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
Verity,"Hoover, Colleen",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
Vermeer: The Astronomer,"Zeri, Federico",1,1,1,Banned Pending Investigation,,missing,missing,,
Victoria and the Rogue,"Cabot, Meg",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
Violet and Daisy: The Story of Vaudeville's Famous Conjoined Twins,"Miller, Sarah",1,1,1,Banned Pending Investigation,,missing,missing,,
Walk Two Moons,"Creech, Sharon",1,1,1,Banned in Libraries,,missing,missing,,
War Storm,"Aveyard, Victoria",1,1,1,Banned in Libraries,,missing,missing,,
Watch Over Me,"LaCour, Nina",1,1,1,Banned in Libraries,,missing,missing,,
Watcher in the Woods: A Rockton Novel,"Armstrong, Kelley",1,1,1,Banned Pending Investigation,,missing,missing,,
Wayward Son,"Rowell, Rainbow",1,1,1,Banned Pending Investigation,,missing,missing,,
We Are Not Your Equal: Understanding Our Racial Divide,"Anderson, Carol",1,1,1,Banned Pending Investigation,,missing,missing,,
We Are Okay,"LaCour, Nina",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
We Can't Be Friends: A True Story,"Etler, Cyndy Drew",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
We March,"Evans, Shane W.",1,1,1,Banned Pending Investigation,,missing,missing,,
We'll Always Have Summer,"Han, Jenny",1,1,1,Banned in Libraries,,missing,missing,,
What Goes Around,"Millner, Denene",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
What Riley Wore,"Arnold, Elana K.",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
What to Do When I'm Gone: A Mother's Wisdom to Her Daughter,"Hopkins, Suzy",1,1,1,Banned Pending Investigation,,missing,missing,,
What We Saw,"Hartzler, Aaron",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
When Wilma Rudolph Played Basketball,"Weakland, Mark",1,1,1,Banned Pending Investigation,,missing,missing,,
"Will Grayson, Will Grayson","Green, John",1,1,1,Banned Pending Investigation,,missing,missing,,
Willful Machines,"Floreen, Tim",1,1,1,Banned Pending Investigation,,missing,missing,,
Wintergirls,"Anderson, Laurie Halse",1,1,1,Banned Pending Investigation,,missing,missing,,
Wintersong,"Jae-Jones, S.",1,1,1,Banned in Libraries,,missing,missing,,
Witch and Wizard,"Patterson, James",1,1,1,Banned in Libraries,,missing,missing,,
Woke: A Young Poets Call to Justice,"Browne, Mahogany L.",1,1,1,Banned Pending Investigation,,missing,missing,,
Woman World,"Dhaliwal, Aminder",1,1,1,Banned Pending Investigation,,missing,missing,,
Women,"Leibovitz, Annie",1,1,1,Banned in Libraries and Classrooms,,missing,missing,,
Wraith,"Hill, Joe",1,1,1,Banned Pending Investigation,,missing,missing,,
Writing and Illustrating the Graphic Novel: Everything You Need to Know to Create Great Graphic Works,"Chinn, Mike",1,1,1,Banned Pending Investigation,,missing,missing,,
Written in Bone: Buried Lives of Jamestown and Colonial Maryland,"Walker, Sally M.",1,1,1,Banned in Libraries,,missing,missing,,
X-Men: Age of X,"Carey, Mike",1,1,1,Banned Pending Investigation,,missing,missing,,
yolo,"Myracle, Lauren",1,1,1,Banned Pending Investigation,,missing,missing,,
You Killed Wesley Payne,"Beaudoin, Sean",1,1,1,Banned in Libraries,,missing,missing,,
Zombies Don't Cry,"Fischer, Rusty",1,1,1,Banned in Libraries,,missing,missing,,
